company_name,company_status,company_status_date,search_url,company_search_status,company_found_name,,flag,flagging_reason,company_number
122 Ideas Limited,Registered Account Information Service Provider,2024-02-14 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=122+Ideas+Limited,Not exact match,122 IDEAS LTD,,OK,,12979583
123Comms Limited,Cancelled - Small PI,2017-08-24 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=123Comms+Limited,OK,123COMMS LIMITED,,Company Ownership,"Company Ownership: Private Limited Company (Governing Law: Companies Act 2006), Company Ownership: Private Limited Company (Governing Law: Companies Act 2006)",04336436
1A Commerce Limited,Cancelled - Small PI,2018-10-26 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=1A+Commerce+Limited,Not exact match,1A COMMERCE LTD,,Orange,"Nationality: Ukraine (ROGOZHYN, Sergii), Country of Residence: Czech Republic (ROGOZHYN, Sergii)",08847437
2Checkout (UK) Limited,PSD Revoked PI,2018-07-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=2Checkout+(UK)+Limited,OK,2CHECKOUT (UK) LIMITED,,OK,,09398303
2PAY LIMITED,Small Payment Institution,2020-03-26 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=2PAY+LIMITED,OK,2PAY LIMITED,,OK,,12276058
3 Old Brothers Limited,PSD Revoked PI,2012-08-15 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=3+Old+Brothers+Limited,Not exact match,3 OLD BROTHERS LTD,,OK,,SC352786
3C Payment UK Ltd,Cancelled - Authorised PI,2023-07-10 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=3C+Payment+UK+Ltd,OK,3C PAYMENT UK LTD,,Company Ownership,"Company Ownership: Private Company Limited By Shares (Governing Law: Companies Act 2006), Company Ownership: Societe Europeenne (Governing Law: France)",03257901
3S Money Club Limited,Authorised Electronic Money Institution,2019-06-19 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=3S+Money+Club+Limited,OK,3S MONEY CLUB LIMITED,,Orange,"Nationality: Latvian (DJUGAJEVS, Jevgenijs), Country of Residence: Latvia (DJUGAJEVS, Jevgenijs)",08574246
786 MSB Limited,Cancelled - Small PI,2012-07-30 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=786+MSB+Limited,Not exact match,SUPERSONICZ LIMITED,,OK,,07381308
9 Spokes UK Limited,Registered Account Information Service Provider,2018-08-29 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=9+Spokes+UK+Limited,OK,9 SPOKES UK LIMITED,,Company Ownership,Company Ownership: Limited Company (Governing Law: Companies Act 1993),09924541
